地區,縣市,景點,地址,電話,親子共遊,溫泉好湯,寺廟祈福,登山步道,無障礙,室內
中部,苗栗縣,泰安溫泉,苗栗縣泰安鄉錦水村18號,037-941-025,,V,,,,
中部,臺中縣,國立自然科學博物館,臺中市北區館前路1號,04-2322-6940,V,,,,,V
中部,彰化縣,鹿港天后宮,彰化縣鹿港鎮中山路430號,04-777-9899,,,V,,,
中部,南投縣,日月潭國家風景區,555南投縣魚池鄉中山路599號,049-285-5668,,,,,V,
中部,南投縣,東埔溫泉,南投縣信義鄉開高巷,049-222-2106,,V,,,,
中部,南投縣,清境農場,南投縣仁愛鄉仁和路170號,04-9280-2172,V,,,V,,
中部,南投縣,合歡山國家森林遊樂區,花蓮縣秀林鄉,04-9280-3985,,,,V,,
中部,南投縣,日月潭玄光寺,南投縣魚池鄉中正路388號,04-9285-0325,,,V,,V,V
中部,南投縣,車埕木業展示館,南投縣水里鄉民權巷110-2號,04-9287-1791,V,,,,V,V
中部,雲林縣,北港朝天宮,雲林縣北港鎮中山路178號,05-783-2055,,,,,,
中部,苗栗縣,雪霸國家公園,雲林縣古坑鄉華山村41號,05-590-1398,,,,V,,
中部,苗栗縣,通霄神社,雲林縣古坑鄉大湖口67號,05-582-5789,,,V,,,
中部,苗栗縣,香格里拉樂園,苗栗縣造橋鄉乳姑山15-3號,037-561-369,,,,V,,
中部,苗栗縣,飛牛牧場,苗栗縣通霄鎮南和里166號,037-782-999,V,,,,,
中部,雲林縣,華山休閒農業區,雲林縣古坑鄉華山村41號,05-590-1398,,,,V,,
中部,雲林縣,劍湖山世界主題樂園,雲林縣古坑鄉大湖口67號,05-582-5789,V,,,,,
中部,彰化縣,鹿港龍山寺,彰化縣鹿港鎮金門巷81號,04-777-2472,,,V,,,
中部,彰化縣,田中森林公園,彰化縣田中鎮中南路二段,049-258-0525,,,,V,,
中部,彰化縣,台灣手套博物館,彰化縣社頭鄉織襪一路8號,04-8736168,V,,,,V,V
中部,臺中縣,谷關溫泉,臺中市和平區東關路一段溫泉巷,04-2595-1496,,V,,,,
中部,臺中縣,福壽山農場,臺中市和平區福壽路29號,04-2598-9202,,,,V,,
中部,臺中縣,八仙山國家森林遊樂區,臺中市和平區,04-2595-1214,,,,V,V,
中部,臺中縣,大甲鎮瀾宮,臺中市大甲區順天路158號,04-2676-3522,,,V,,,
北部,新北市,野柳地質公園,新北市萬里區港東路167-1號,02-24922016,,,,,V,
北部,宜蘭縣,礁溪溫泉,宜蘭縣礁溪鄉公園路16號,03-987-2403,,V,,,,
北部,宜蘭縣,太平山國家森林遊樂區,宜蘭縣大同鄉,03-980-9806,,V,,V,,
北部,宜蘭縣,蘇澳冷泉,宜蘭縣蘇澳鎮冷泉路6-4號,03-996-0645,V,,,,,
北部,宜蘭縣,福山植物園,宜蘭縣員山鄉湖西村雙埤路福山1號,03-922-8900,,,,V,,
北部,宜蘭縣,冬山河親水公園,宜蘭縣五結鄉親河路二段2號,03-9502097,V,,,,,
北部,宜蘭縣,鳩之澤溫泉,宜蘭縣大同鄉,03-980-9806,,V,,V,,
北部,宜蘭縣,仁山植物園,宜蘭縣冬山鄉新寮路500號,03-958-5991,,,,V,,
北部,桃園市,圳頭里軍史公園,桃園市大園區古亭路,03-332-2101#6209,V,,,,,
北部,桃園市,虎頭山公園,桃園市桃園區公園路,03-332-2101,,,,V,,
北部,桃園市,石門水庫,桃園市大溪區復興里環湖路一段68號,03-471-2000,,,,V,,
北部,桃園市,東眼山國家森林遊樂區,桃園市復興區,03-382-1506,,,,V,,
北部,新竹縣,枋寮褒忠亭義民廟,新竹縣新埔鎮義民路三段360號,03-588-2238,,,V,,,
北部,新竹縣,清泉溫泉,新竹縣五峰鄉清石道路,03-585-1001,,V,,,,
北部,新竹縣,北埔老街,新竹縣北埔鄉北埔街,03-580-2204,,,,,V,
北部,新竹縣,綠世界生態農場,新竹縣北埔鄉大湖村7鄰20號,03-5801000,V,,,,V,
北部,新竹縣,清泉風景特定區,新竹縣五峰鄉清石道路,03-585-1001,,V,,V,,
北部,新竹市,新竹城隍廟,新竹市北區中山路75號,03-522-3666,,,V,,,
北部,新竹市,十八尖山,新竹市東區博愛街及寶山路,03-521-6121,,,,V,,
北部,基隆市,和平島公園,基隆市中正區平一路360號,02-24635452,V,,,,V,
北部,基隆市,中正公園,基隆市中正區壽山路,02-2428-7664,V,,V,,,
北部,基隆市,基隆嶼,基隆市中正區基隆嶼,02-2428-7664,,,,V,,
北部,基隆市,國立海洋科技博物館,基隆市中正區北寧路367號,02-24690731,V,,,,V,
北部,新北市,烏來溫泉,新北市烏來區烏來街,02-2661-6355,,V,,,,
北部,新北市,碧潭風景區,新北市新店區新店路,02-2911-2281,V,,,,,
北部,新北市,白沙灣,新北市石門區德茂里下員坑,02-86355100,V,,,,V,
北部,新北市,鼻頭角,新北市瑞芳區鼻頭路,02-2499-1210,,,,V,,
北部,新北市,金山溫泉,新北市金山區,02-2498-8980,,V,,,,
北部,新北市,三峽清水祖師廟,新北市三峽區秀川里長福街1號,02-2671-1031,,,V,,,
北部,新北市,草嶺古道,新北市貢寮區,02-2499-1115,,,,V,,
北部,臺北市,陽明山國家公園,臺北市北投區陽明山竹子湖路1-20號,02-2861-3601,,V,,V,,
北部,臺北市,臺北龍山寺,臺北市萬華區廣州街211號,02-2302-5162,,,V,,,
北部,臺北市,國立故宮博物院,臺北市士林區至善路二段221號,02-2881-2021,V,,,,,
北部,臺北市,新北投溫泉區,臺北市北投區光明路、中山路,02-2720-8889,V,V,,,,
北部,臺北市,臺北市立動物園,臺北市文山區新光路二段30號,02-2938-2300,V,,,,,
東部,花蓮縣,瑞穗溫泉,花蓮縣瑞穗鄉,03-887-5306,,V,,,,
東部,台東縣,知本溫泉,臺東縣卑南鄉,089-357-131,,V,,,,
東部,台東縣,知本國家森林遊樂區,臺東縣卑南鄉溫泉村,089-510-961,,,,V,,
東部,台東縣,初鹿牧場,臺東縣卑南鄉明峰村牧場1號,089-571-002,V,,,,,
東部,台東縣,天龍吊橋,臺東縣海端鄉台20線323公里,089-551-637,,V,,,,
東部,台東縣,關山親水公園,臺東縣關山鎮鎮隆盛路1號,089-551-637,V,,,,,
東部,台東縣,鯉魚山公園,臺東縣臺東市博愛路,089-841-520,,,,V,,
東部,花蓮縣,富源國家森林遊樂區,花蓮縣瑞穗鄉富源村,03-881-2377,,V,,V,,
東部,花蓮縣,池南國家森林遊樂區,花蓮縣壽豐鄉池南村,03-864-1594,V,,,V,,
東部,花蓮縣,紅葉溫泉,花蓮縣萬榮鄉紅葉村,03-887-5306,,V,,,,
東部,花蓮縣,禪光寺,花蓮縣秀林鄉,03-862-1100~6,,,V,,,
東部,花蓮縣,美崙山,花蓮縣花蓮市新興路,03-822-7171,V,,,V,,
東部,花蓮縣,花蓮文化創意產業園區,花蓮市中華路144號,03-8312111,,,,,V,
東部,台東縣,東部海岸國家風景區-都歷遊客中心,臺東縣成功鎮信義里新村路25號,089-841-520,,,,,V,
南部,嘉義縣,阿里山國家風景區-觸口遊客中心,嘉義縣番路鄉觸口村車埕51號,05-259-3900,,,,V,V,
南部,嘉義縣,瑞里風景區,嘉義縣梅山鄉瑞里村162甲縣道,05-250-1070,,,,V,,
南部,嘉義縣,國立故宮博物院南部院區,嘉義縣太保市故宮大道888號,05-362-0777,,,,,V,
南部,嘉義市,洲南鹽場,嘉義縣布袋鎮新厝仔402號,05-3478817,V,,,,V,
南部,屏東縣,四重溪溫泉,苗栗縣泰安鄉錦水村18號,037-941-025,,V,,,,
南部,屏東縣,墾丁國家森林遊樂區,苗栗縣泰安鄉梅園村7鄰雪見10號,037-962-188,,,,V,,
南部,屏東縣,國立海洋生物博物館,苗栗縣通霄鎮中正路8號,037-752-104,V,,,,,
南部,屏東縣,東隆宮,苗栗縣造橋鄉乳姑山15-3號,037-561-369,,,V,,,
南部,屏東縣,崎峰濕地,苗栗縣通霄鎮南和里166號,037-782-999,,,,,V,
南部,高雄市,六合觀光夜市,高雄市新興區六合二路與中山一路口,07-285-6786,V,,,,,
南部,高雄市,壽山國家自然公園,高雄市鼓山區萬壽路301號,07-262-0610,,,,V,,
南部,高雄市,高雄孔廟,高雄市左營區蓮潭路400號,07-222-7914,,,V,,,
南部,高雄市,寶來溫泉,高雄市六龜區省道臺20線,07-688-1001,,V,,,,
南部,臺南市,延平郡王祠,臺南市中西區開山路152號,06-213-5518,,,V,,,
南部,臺南市,關子嶺溫泉,臺南市白河區關嶺里,06-6822344,,V,,,,
南部,臺南市,大天后宮,臺南市中西區永福路二段227巷18號,06-221-1178,,,V,,,
南部,臺南市,西拉雅國家風景區,臺南市白河區仙草里仙草1-1號,06-684-0337,,V,,,,
南部,臺南市,曾文水庫,臺南市楠西區密枝里70號,06-575-3251,,,,V,,
南部,臺南市,走馬瀨農場,臺南市大內區二溪里唭子瓦60號,06-576-0121,V,,,,,
離島,澎湖縣,二崁傳統聚落,澎湖縣西嶼鄉二崁村,06-921-6521,,,,,V,
離島,澎湖縣,澎湖國家風景區-澎湖遊客中心,澎湖縣馬公市光華里171號,06-921-6445,,,,,V,V
離島,澎湖縣,林投公園,澎湖縣湖西鄉林投村,06-921-6521,V,,,,,
離島,金門縣,太湖遊憩區,金門縣金湖鎮太湖路三段,082-332-528,V,,,,,
離島,連江縣(馬祖),壁山,連江縣北竿鄉壁山路,08-3656534,,,,V,V,
離島,連江縣(馬祖),雲台山,連江縣南竿鄉中央大道,08-3625630,,,,V,,
離島,連江縣(馬祖),馬祖境天后宮,連江縣南竿鄉馬祖村4-1號,08-3622913,,,V,,V,
